,token,cluster,character_dimension_1,character_dimension_2,count,probability,cass_brand,similar_cass_brand
0,modus_operandi,0,-12.488476,42.95445,10,0.9999999999999699,,
1,20_abv,1,5.1893673,83.27315,7,0.9999999999999699,,
2,crawl,2,53.288834,-45.918087,5,0.9999999999999699,,
3,st_huberts_stag_pinot,3,33.304848,38.19512,12,0.9999999999999699,,
4,alize_red,4,53.478764,-6.320503,5,0.9999999999999699,,
5,2018_genres,5,29.058767,71.77581,7,0.9999999999999699,,
6,wei_ruan_tang,6,44.09653,-37.287613,6,0.9999999999999699,,
7,largest_selling_irish_whiskey,7,71.06108,6.729437,5,0.9999999999999699,,
8,"
b9",8,51.60275,63.74439,10,0.9999999999999699,,
9,jack_daniels_1907_tennessee,9,56.301975,33.38709,14,0.9999999999999699,,
10,happiest,10,-63.507698,2.4450617,7,0.9999999999999699,,
11,lemonade_330ml_glass,11,21.157482,79.75023,11,0.9999999999999699,,
12,victor,12,-5.7875423,59.13511,5,0.9999999999999699,,
13,earth_choice_floor_surface,13,34.831562,-4.3247156,12,0.9999999999999699,,
14,harpic,14,-40.857746,-20.076578,7,0.9999999999999699,,
15,gins,15,-16.515457,46.166283,12,0.9999999999999699,,
16,353,16,19.277225,86.62908,12,0.9999999999999699,,
17,professional,17,13.725277,23.769,50,0.9999999999999699,,
18,skies,18,21.536137,8.114682,6,0.9999999999999699,,
19,abv_40,19,6.681596,85.547264,10,0.9999999999999699,,
20,kim_crawford,20,19.419466,50.33553,9,0.9999999999999699,,
21,promote,21,14.125043,35.23805,17,0.9999999999999699,,
22,label_scotch,22,68.29586,13.652854,14,0.9999999999999699,,
23,loire_valley_france,23,1.4261028,55.00168,10,0.9999999999999699,,
24,tea_purified_aloe,24,-4.00331,-11.22316,5,0.9999999999999699,,
25,mumm_marlborough_brut_prestige,25,35.45262,49.971104,5,0.9999999999999699,,
26,cult,26,-59.925194,-15.725858,8,0.9999999999999699,,
27,unisex_designs_adjustable_straps,27,-28.155607,29.44449,7,0.9999999999999699,,
28,batiste_dry_shampoo,28,48.620983,5.4917526,6,0.9999999999999699,,
29,having_party,29,20.559322,5.029602,5,0.9999999999999699,,
30,frizz,30,-12.1962385,-21.472713,8,0.9999999999999699,,
31,1_meter,31,27.550371,22.779184,12,0.9999999999999699,,
32,nivea_original,32,-7.283383,-18.755442,21,0.9999999999999699,,
33,brewery,33,27.622257,-3.1306117,34,0.9999999999999699,,
34,yellow_label,34,55.247124,44.881226,8,0.9999999999999699,,
35,earphones,35,42.462654,12.720003,12,0.9999999999999699,,
36,veuve,36,58.417084,51.176243,8,0.9999999999999699,,
37,da_huang,37,49.290802,-37.994095,5,0.9999999999999699,,
38,david,38,-58.833652,39.635826,12,0.9999999999999699,,
39,oyster_bay_rose,39,29.96495,47.529583,17,0.9999999999999699,,
40,coffee_liqueur_700ml,40,53.491783,-10.380004,6,0.9999999999999699,,
41,chardonnay_750ml_south_eastern,41,26.190992,46.016293,7,0.9999999999999699,,
42,pillars_bloody_shiraz,42,19.801367,41.168713,30,0.9999999999999699,,
43,yi_teng_yuan,43,42.026505,-35.549015,6,0.9999999999999699,,
44,hardys_vr_shiraz,44,23.976551,44.08569,15,0.9999999999999699,,
45,dare_mocha_iced_coffee,45,32.56583,-27.556238,11,0.9999999999999699,,
46,liquid_detergent,46,41.887436,0.34628856,6,0.9999999999999699,,
47,barossa_shiraz_750ml,47,9.931653,58.076443,8,0.9999999999999699,,
48,348,48,22.338207,88.6868,11,0.9999999999999699,,
49,styling_hairspray,49,8.172702,20.268444,5,0.9999999999999699,,
50,amplify_kombucha_apple_blackcurrant,50,26.104523,-57.876495,9,0.9999999999999699,amplify,
51,approach,51,16.622557,11.714014,14,0.9999999999999699,,
52,stain,52,-28.07433,39.654716,8,0.9999999999999699,,
53,dating,53,-6.692327,22.232412,5,0.9999999999999699,,
54,therapeutic,54,27.61943,9.613769,6,0.9999999999999699,,
55,tread_softly,55,38.551212,41.498135,17,0.9999999999999699,,
56,penfolds_maxs_cabernet_sauvignon,56,22.921118,55.126907,12,0.9999999999999699,,
57,cleanses,57,39.45298,-18.920393,15,0.9999999999999699,,
58,spark,58,2.8078296,-3.1936903,15,0.9999999999999699,,
59,wolf_blass,59,8.752939,39.934994,21,0.9999999999999699,,
60,monkey_shoulder,60,74.53563,10.661042,17,0.9999999999999699,,
61,superiore,61,20.817347,0.95915514,7,0.9999999999999699,,
62,reliable,62,46.997566,12.576211,12,0.9999999999999699,,
63,mcguigan_zero,63,21.822538,-11.137221,10,0.9999999999999699,,
64,fermentation,64,-0.09981794,25.254917,13,0.9999999999999699,,
65,chateau,65,24.79246,-40.52636,26,0.9999999999999699,,
66,"
genres_electronic",66,19.139154,18.486448,5,0.9999999999999699,,
67,pu_tao,67,45.83071,-31.131077,29,0.9999999999999699,,
68,alize_blue,68,53.683506,-6.158013,7,0.9999999999999699,,
69,nivea_deodorant,69,23.478909,18.557215,5,0.9999999999999699,,
70,carmenere,70,0.59054047,25.305204,6,0.9999999999999699,,
71,1er_cru,71,-13.600509,-39.732807,5,0.9999999999999699,,
72,bortoli_woodfired_heathcote_shiraz,72,18.248112,38.88997,10,0.9999999999999699,,
73,toddlers,73,-18.432495,26.57069,13,0.9999999999999699,,
74,harpic_fresh,74,-40.77529,-20.21229,21,0.9999999999999699,,
75,arizona_blueberry_white,75,-21.377455,-55.994236,9,0.9999999999999699,arizona,arizona_blueberry_white_tea
76,"
released_europe_2015",76,28.859903,65.59646,6,0.9999999999999699,,
77,marcel_dettmann,77,1.4517541,43.062298,7,0.9999999999999699,,
78,hiatus_kaiyote,78,-41.197464,1.0454882,5,0.9999999999999699,,
79,blue_pyrenees,79,0.037269,47.228535,7,0.9999999999999699,,
80,"pop_rock_

tracklist
a1",80,40.113796,67.48266,7,0.9999999999999699,,
81,dietary_intake_inadequate,81,-2.052527,34.850094,7,0.9999999999999699,,
82,"
genres_rock_pop",82,34.992146,71.32124,7,0.9999999999999699,,
83,shaw_smith_m3_chardonnay,83,23.731646,46.26389,5,0.9999999999999699,,
84,hair,84,8.494618,18.984774,127,0.9999999999999699,,
85,sans_pareil,85,15.854954,31.729906,11,0.9999999999999699,,
86,blistex_lip,86,-3.9227011,9.1703415,7,0.9999999999999699,,
87,doom,87,35.92006,12.124097,6,0.9999999999999699,,
88,schwarzkopf_extra_care_strong,88,20.560347,-48.205597,6,0.9999999999999699,,
89,rice_stick_bihon,89,11.446664,0.39629924,6,0.9999999999999699,,
90,upside_rose,90,38.22824,49.496616,10,0.9999999999999699,,
91,wolf_blass_red,59,8.750684,39.958836,133,0.9999999999999699,,
92,mask_reusable_washable_fabric,91,47.292862,12.287024,7,0.9999999999999699,,
93,pup,92,15.138737,0.39865837,17,0.9999999999999699,,
94,"
genres_rock_alternative",93,35.73489,69.41189,9,0.9999999999999699,,
95,statement,94,1.9192597,26.959515,9,0.9999999999999699,,
96,chu_fang,95,-52.87884,-9.46409,7,0.9999999999999699,,
