,token,cluster,character_dimension_1,character_dimension_2,count,probability,cass_brand,similar_cass_brand
0,146_abv,0,-38.54328,-55.866585,88,0.9999999999999699,,
1,dom_perignon,1,-9.534948,12.5716715,11,0.9999999999999699,,
2,replenishes,2,16.06543,23.104502,6,0.9999999999999699,,
3,designed_help,3,56.06208,29.888475,6,0.9999999999999699,,
4,medium_indirect_light_tolerates,4,12.630157,69.27873,6,0.9999999999999699,,
5,paste_garam_masala,5,-45.850807,18.966272,11,0.9999999999999699,,
6,access,6,54.209614,-4.7137656,11,0.9999999999999699,,
7,wings_creamy_messy,7,9.826744,48.66589,11,0.9999999999999699,,
8,cycle,8,43.298054,23.33006,11,0.9999999999999699,,
9,vitamin_water_blueberry,9,15.920229,6.8894463,11,0.9999999999999699,vitamin_water,
10,monster_energy_ultra_fiesta,10,49.808853,-39.04062,11,0.9999999999999699,monster,monster_ultra_fiesta
11,replenish,2,16.03354,23.079874,11,0.9999999999999699,,
12,cup_tending_sweet,11,54.03465,22.458635,6,0.9999999999999699,,
13,33_acres_nirvana,12,-5.384449,-45.0445,6,0.9999999999999699,,
15,certification,14,-29.146048,13.38239,11,0.9999999999999699,,
16,vitamin_water_shine,15,-49.798286,-31.205044,11,0.9999999999999699,vitamin_water,
17,great_lakes_brewery,16,64.827515,10.4986925,11,0.9999999999999699,,
18,spiritual,17,-30.802526,14.193985,6,0.9999999999999699,,
19,whistler_forager_gluten_free,18,13.011074,-23.368523,6,0.9999999999999699,,
20,presse_cafe,19,22.622356,45.623085,11,0.9999999999999699,,
21,cargo,20,36.148403,-26.733503,11,0.9999999999999699,,
22,naramata,21,-6.360098,55.217922,6,0.9999999999999699,,
23,lurisia_sparkling_water,22,-51.409626,-2.250689,6,0.9999999999999699,lurisia,
24,dalmore_12_year,23,4.636339,-31.26715,6,0.9999999999999699,,
25,gerard_bertrand,24,18.928913,13.077959,11,0.9999999999999699,,
26,multi_purpose,25,43.66184,17.840677,11,0.9999999999999699,,
27,bombay_sapphire_east,26,62.655666,-24.438608,11,0.9999999999999699,,
28,martini_dry,27,4.2522016,-17.641127,11,0.9999999999999699,,
29,moi,28,-63.016705,-13.148303,11,0.9999999999999699,,
30,100_naturally_alkaline,29,-52.760628,-11.831239,11,0.9999999999999699,,
31,gut_health,30,33.959846,33.23047,6,0.9999999999999699,,
32,caused,31,56.643955,7.54253,11,0.9999999999999699,,
33,est_une_excellente_source,32,-54.52075,-18.844038,6,0.9999999999999699,est,
34,nourish_hair,33,-0.8856469,48.0771,6,0.9999999999999699,,
35,boxer_hard_root_beer,34,-13.819306,60.354256,11,0.9999999999999699,,
36,balanced_bitterness,35,30.917763,3.985707,11,0.9999999999999699,,
37,en_acier_inoxydable,36,43.69168,2.1757343,6,0.9999999999999699,,
38,grapefruit_kombucha,37,-11.206327,44.88486,6,0.9999999999999699,,
39,exposed,38,42.99314,16.777687,11,0.9999999999999699,,
40,pantene,39,2.4090323,-52.408787,11,0.9999999999999699,,
41,contains_caffeine,40,21.07749,55.23124,11,0.9999999999999699,,
42,primitivo,41,26.260336,26.898026,11,0.9999999999999699,,
43,handcuffs,42,40.874058,43.68939,6,0.9999999999999699,,
44,coors_light_coors_light,43,12.625305,66.32593,11,0.9999999999999699,,
45,tuscany_italy_750_ml,44,-7.2194657,-66.83891,6,0.9999999999999699,,
46,toasted_bun_flawless_blend,45,7.601463,-23.829039,11,0.9999999999999699,,
47,nostalgia_excitementkinda_like_alltime,46,-16.516836,8.505719,11,0.9999999999999699,,
48,idaho_7,47,-19.575537,-46.751915,10,0.9999999999999699,,
49,cha_xie,48,-51.78404,21.807634,11,0.9999999999999699,,
50,amino_acids,49,45.57491,3.4410672,11,0.9999999999999699,,
51,biodynamic,50,-44.37459,31.520472,6,0.9999999999999699,,
52,lifelike,51,-10.62809,-3.8425148,6,0.9999999999999699,,
53,beware,52,47.336628,-3.4434593,11,0.9999999999999699,,
54,energy_focus,53,53.896126,-28.360075,6,0.9999999999999699,,
55,cotes_du_rhone,54,34.308304,6.9479423,11,0.9999999999999699,,
56,singleton_dufftown_12_year,55,5.2622795,-31.692501,6,0.9999999999999699,,
57,hyaluronic_acid,56,-29.841747,64.70565,11,0.9999999999999699,,
58,48h,57,-104.36162,-47.174744,11,0.9999999999999699,,
59,mionetto_prosecco,58,-62.469803,2.8620756,11,0.9999999999999699,,
60,limonata_san_pellegrino,59,-28.085491,-60.595787,11,0.9999999999999699,san_pellegrino,san_pellegrino_limone_menta san_pellegrino_limonata
61,purzen,60,46.751945,18.384909,6,0.9999999999999699,,
62,kona_coffee,61,12.636893,49.45366,6,0.9999999999999699,,
63,window,62,19.5977,-17.71014,6,0.9999999999999699,,
64,volo,63,-19.91076,-29.165424,6,0.9999999999999699,,
65,votre_corps,64,39.080116,20.750486,6,0.9999999999999699,,
66,sparkling_drinks,65,-53.526234,2.3897388,11,0.9999999999999699,,f_n_sparkling_drinks f_n_sparkling_drinks_ginger_ale
67,difficile,66,38.461624,9.199877,11,0.9999999999999699,,
68,coverage,67,14.402441,36.052345,6,0.9999999999999699,,
69,plugs,68,40.243008,29.790129,11,0.9999999999999699,,
70,ceramic_mug,69,-44.28506,32.315495,6,0.9999999999999699,mug,
71,clean_refreshing,70,31.923477,-16.34686,11,0.9999999999999699,,
72,douche,71,-6.6858053,48.5926,11,0.9999999999999699,,
73,blueberry_passionfruit,72,10.387088,-3.378446,11,0.9999999999999699,,
74,india_pale,73,-20.784044,36.396366,6,0.9999999999999699,,
75,wrinkles,74,42.42186,-25.934202,6,0.9999999999999699,,
76,notes_long_finish,75,-29.273426,7.6782794,11,0.9999999999999699,,
77,sprains,76,-8.417524,-53.995888,11,0.9999999999999699,,
78,gold_standard,77,5.3650002,-21.700941,11,0.9999999999999699,,
79,ajoutez_une_bouteille_deau,78,-33.196594,-42.468052,11,0.9999999999999699,,
80,tea_body_hints,79,-0.4999683,45.082794,11,0.9999999999999699,,
81,singha,80,-69.7584,-17.571539,6,0.9999999999999699,,
