,token,label,cluster,character_dimension_1,character_dimension_2,count,probability,cass_brand,similar_cass_brand
0,powerade_ion_4,1,0,4.250489,55.49128,9,0.99999999998799,powerade,
2,corona_extra,1,2,-6.226238,-59.040154,9,0.999999999833559,,
3,malfy,1,3,34.748764,-38.081505,6,0.999999999817761,,
4,powerade_750ml_mountain_blast,1,4,-0.4721042,58.853405,6,0.999999999809882,powerade,powerade_mountain_berry_blast powerade_zero_mountain_blast
5,jacobs_creek_chardonnay,1,5,55.774593,17.80778,7,0.999999999790932,,
6,tiger_12_pack,1,6,-19.36876,-55.574776,6,0.999999999788204,tiger,
7,ipa,0,7,-31.166552,-34.77174,15,0.999999999728867,,
8,yerba_mate,0,8,-27.507107,-11.366996,5,0.99999999972513,,
9,hops,0,9,-34.25269,34.533726,16,0.999999999692816,,
10,eaglehawk,1,10,-13.2059965,-39.84468,6,0.999999999660355,,
11,shampoo,0,11,-2.73386,-35.388134,14,0.999999999647457,,
12,2016,0,12,-50.580074,-58.16271,5,0.999999999631656,,
13,750m,0,13,-36.54599,-46.764313,6,0.999999999630185,,
15,ipa_6_pack,0,15,-20.886644,-60.084003,8,0.99999999961171,,
17,musashi_energy_drink,1,17,16.323648,-54.974667,11,0.999999999595472,,
18,"pack_6_packs

alcohol",0,18,-21.05211,-60.16829,5,0.999999999564385,,
19,bottled,0,19,-12.843623,-66.77346,16,0.999999999559445,,
20,good_george,1,20,-17.902182,-15.73004,5,0.999999999551238,,
21,rockstar_500ml,1,21,30.562984,34.53926,20,0.999999999542134,rockstar,
22,6x330ml,0,22,-22.12792,-66.09628,7,0.999999999474446,,
23,spray,0,23,2.170517,-3.467875,17,0.999999999472481,,
24,hazy,0,24,-25.49181,-31.301504,9,0.999999999468143,,
25,elephant_hill,1,25,-32.39806,-34.579117,8,0.999999999448598,,
26,freshly_prepared_kava,0,26,-3.5788536,-1.2981179,6,0.999999999424612,,
27,dettol,0,27,-10.42011,-64.87168,16,0.999999999421379,,
28,orange_juice_1l,0,28,-17.6303,28.335438,14,0.999999999400829,,
29,ribena,1,29,-46.871735,32.151302,19,0.999999999335534,,
30,company,0,30,15.963006,-29.619106,9,0.999999999334827,,
31,pale_ale,0,31,-23.478823,-29.817158,19,0.999999999311942,,ale_ale ale_ale_default
32,rockstar_energy_drink,1,32,14.616513,-55.213875,7,0.999999999273231,rockstar,
33,"6_packs

alcohol_licensee_purchased",0,33,-36.563923,-58.86868,5,0.999999999261895,,
34,whiskies,0,34,23.761292,64.2888,7,0.99999999924585,,
35,blk,1,35,-9.99166,-17.477709,5,0.999999999234941,,
36,environment,0,36,-11.93835,19.2263,7,0.999999999224762,,
37,harney_sons,0,37,-3.7324915,-23.831669,9,0.999999999178918,,
38,macs_interstate,1,38,16.84249,-5.472222,6,0.9999999991588,,
39,"12_alcohol_bottle

alcohol",0,39,-31.295143,-56.783573,8,0.999999999151953,,
40,19_crimes_shiraz,1,40,-34.322987,-44.0457,8,0.999999999151097,,
41,karma_juice,1,41,48.088154,-23.425253,10,0.999999999140751,,
42,live,0,42,-21.467548,-35.00714,47,0.999999999094762,,
43,zero,0,43,27.725168,24.76145,67,0.999999999094438,,
44,1889,1,44,-17.582739,-58.6711,5,0.999999999068515,,
45,barista_bros_mocha,1,45,7.493637,-18.255909,9,0.999999999056087,barista_bros,
46,monteiths,1,46,19.10589,-8.642612,13,0.999999999019178,,
47,"125l

alcohol_licensee_purchased_limit",0,47,-38.2869,-58.495136,17,0.999999999013646,,
48,vodka_1l,0,48,-5.668763,-42.25891,8,0.999999998958596,,
49,old_north_road,1,49,-47.94382,-38.241787,5,0.999999998952966,,
50,iced_coffees_chocolate,0,50,11.44683,-16.994324,5,0.999999998938266,,
51,announcement,0,51,-22.182444,35.126274,5,0.999999998871234,,
52,stella_artois,1,52,-17.72774,-53.74557,6,0.999999998870101,,
53,guava_passionfruit,0,53,18.877436,4.5766435,7,0.999999998863073,,
55,jars,0,55,-54.22911,-31.416473,6,0.999999998632516,,
56,blending,0,56,-28.397778,31.41412,5,0.999999998583432,,
57,sparkling_duet_15l,0,57,55.68657,2.9817064,18,0.999999998568773,,
58,sparking_water,0,58,47.610508,6.7923174,9,0.999999998561235,,
59,"7_alc

alcohol_licensee_purchased",0,59,-36.544056,-57.333946,5,0.999999998554687,,
60,women,0,60,13.178013,67.06947,5,0.999999998541068,,
61,water_15l,0,61,6.233043,0.6146122,17,0.999999998496832,,
62,jacob_creek,1,62,54.90291,17.260275,10,0.999999998486838,,
63,"vodka_700ml

alcohol_licensee",0,63,-30.979158,-50.179676,7,0.999999998474722,,
64,shine,0,64,-26.693497,-26.824589,6,0.999999998423664,,
65,vintage,0,65,25.745193,-31.795467,6,0.999999998420497,,
66,shampoo_conditioner,0,66,42.840256,-39.06313,5,0.999999998416167,,
67,sparkling,0,67,50.62897,5.840258,238,0.999999998407571,,
68,twinings,0,68,-2.577163,12.03317,5,0.99999999840661,,
69,spring_water_600ml,0,69,-25.215912,-43.41104,12,0.999999998393193,,
70,varietal,0,70,-3.8406982,-20.31818,5,0.999999998356268,,
71,"440ml

alcohol_licensee_purchased_limit",0,47,-38.742344,-57.2445,6,0.999999998236004,,
72,rawsons_retreat,1,71,22.537966,-25.314491,6,0.999999998162511,,
73,lipton_tea,1,54,19.884937,16.450014,9,0.999999998105288,lipton,
74,fruju,0,72,-4.8322687,39.032734,8,0.999999998016797,,
75,garage_project_hapi_daze,1,73,2.2348487,-39.12617,7,0.999999997880912,,
76,homegrown_juice,0,74,9.828685,64.592575,5,0.999999997871581,homegrown,homegrown_apple_juice homegrown_orange_juice homegrown_lemon_juice homegrown_apple_and_kale_juice homegrown_lime_juice
77,brown_brothers,1,75,6.267636,70.01801,17,0.999999997854575,,
78,greenalls_gin,1,76,-4.467163,-12.315135,6,0.999999997854196,,
79,1_lt_1l_alcohol,0,77,-31.94375,-59.142704,5,0.999999997851085,,
80,chia_sisters,1,78,-20.32386,-20.096329,15,0.999999997836161,,
81,double_cask,0,79,6.8471465,-23.438984,5,0.999999997826129,,
82,kerikeri,0,80,-17.089493,23.39222,5,0.999999997793771,,
83,mountain_blast_zero,1,4,-2.1594312,59.986233,7,0.999999997781224,,powerade_mountain_berry_blast powerade_zero_mountain_blast
84,cleaner,0,81,26.149923,-38.467453,7,0.999999997740209,,
85,sourced,0,82,5.1939034,-3.811188,10,0.999999997733845,,
86,founder,0,83,-10.634001,63.111416,5,0.99999999771502,,
87,tui_bourbon,1,84,29.478594,-43.030804,5,0.999999997691426,,
88,peroni,1,85,39.72838,-25.455952,6,0.999999997688093,,
89,barrel_soda,0,86,-12.816938,50.362602,13,0.999999997671098,,
90,freedom,1,87,-12.318583,-18.354134,6,0.999999997669298,,
91,jade,1,88,-5.676027,13.397068,6,0.999999997652836,,
92,limit_24_bottles_premixed,0,89,-12.086648,-69.61072,9,0.999999997623386,,
93,rapid,0,90,-1.445595,27.312216,7,0.999999997596335,,
94,"pinot_noir_750ml

alcohol_licensee",0,91,-41.36897,-46.0514,7,0.999999997559801,,
95,balm,0,92,19.154057,-15.7914715,6,0.999999997446661,,
96,coruba_dark_rum_1l,1,93,-10.150666,-6.395262,5,0.999999997440653,,
97,arizona_tea,1,94,1.0629054,35.343548,5,0.999999997365819,arizona,
98,lager,0,95,22.099882,-31.612665,13,0.999999997356745,,
99,19_crimes_cabernet_sauvignon,1,96,-18.95175,-46.733257,5,0.99999999731175,,
100,marlborough_sauvignon_blanc,0,97,-16.801975,-43.556664,6,0.999999997303592,,
101,stoneleigh,1,98,8.577142,-35.92439,9,0.999999997174035,,
102,kings_favour_sauvignon_blanc,1,99,-17.863337,-44.63525,5,0.999999997170837,,
103,proudly,0,100,-19.592058,65.23636,5,0.999999997128251,,
104,monster_500ml,1,101,-23.514593,-39.068203,31,0.999999997120984,monster,
105,"500ml_500ml

alcohol_licensee_purchased",0,47,-38.611862,-55.416397,12,0.999999997119358,,
106,ginger_beer_schweppes,1,102,56.364887,-5.873877,10,0.999999997068561,schweppes,schweppes_ginger_ale schweppes_dry_ginger_ale schweppes_ginger_beer schweppes_ginger_ale schweppes_diet_ginger_ale
107,parrotdog,1,103,-27.586592,51.367588,6,0.999999997050955,,
108,gatorade_blue_bolt,1,104,14.058294,49.830276,12,0.99999999704998,gatorade,gatorade_fierce_blue_bolt
109,okf_aloe_drink,1,105,7.7774425,-9.905898,10,0.999999997040442,,
110,tanqueray_gin,1,106,29.683777,-16.07415,5,0.999999997021611,,
111,gordons,1,107,-30.216574,-40.540348,18,0.999999997012614,,
112,good_buzz,1,108,49.65156,-8.941911,5,0.999999997010188,,
113,monkey_shoulder_700ml,1,109,-29.158873,-46.56483,7,0.999999996969116,,
114,arrogant_frog,1,110,-28.549818,51.910503,9,0.999999996939993,,
115,repair,0,111,-59.058655,5.285093,6,0.999999996855233,,
116,brb,1,112,-39.82957,27.217054,17,0.999999996818373,,
118,filtered,0,114,16.442371,-69.72737,8,0.999999996715639,,
119,125l_125l,0,115,-31.670298,-66.867256,5,0.999999996710878,,
120,100_natural,0,116,41.424896,1.9567051,7,0.99999999664581,,
121,20s,0,117,-49.181305,-58.701374,12,0.999999996591675,,
122,vineyards,0,118,-10.736137,-43.350376,5,0.99999999657628,,
123,coke_0,1,119,4.8720345,8.589114,9,0.999999996512519,coke,
124,woodstock_7,1,120,24.929148,2.5182185,8,0.999999996392147,,
125,powerade_750ml,1,121,2.5447962,55.882076,32,0.999999996346444,powerade,
126,tonic,0,122,38.7309,-24.235424,28,0.99999999634177,,
127,pa_road,1,123,-50.018467,-37.72709,6,0.999999996331351,,
128,iced_americano_double_shot,0,124,7.8357954,-23.526772,6,0.999999996285019,,
129,villa_maria,1,125,-26.798847,-14.975677,24,0.999999996282758,,
130,hennessy_xo,1,126,-3.6761267,10.405121,5,0.999999996172153,,
131,stoke,1,127,4.345393,8.399506,5,0.999999996065084,,
132,haagen,1,128,23.05082,-32.68444,5,0.999999996048626,,
133,launched,0,129,31.556452,38.44027,5,0.999999996015068,,
134,selaks_taste_collection,1,130,0.9342866,-35.315178,8,0.999999995931477,,
135,hoppy,0,131,-34.316105,33.89775,7,0.999999995872234,,
136,schweppes_sparkling_duet,1,132,56.33205,1.467399,9,0.999999995834123,schweppes,schweppes_sparkling_duet_raspberry schweppes_sparkling_duet_lime schweppes_sparkling_duet_lemon schweppes_sparkling_duet_lemonade schweppes_sparkling_duet_orange_lemon
137,mountain_dew_livewire,1,133,-5.2467713,64.44663,14,0.999999995772806,mountain_dew,mountain_dew_live_wire mountain_dew_live_wire
